x,y
-1.0,0.800694718422141
-0.9646464646464646,0.6861468202056751
-0.9292929292929293,0.5861421079106404
-0.8939393939393939,0.49915006231817216
-0.8585858585858586,0.42376078830450903
-0.8232323232323232,0.35867904653642413
-0.7878787878787878,0.30271839522653504
-0.7525252525252525,0.2547954415909253
-0.7171717171717171,0.21392420263775458
-0.6818181818181818,0.1792105746034744
-0.6464646464646465,0.14984691013591944
-0.6111111111111112,0.12510670203110835
-0.5757575757575758,0.10433937201831647
-0.5404040404040404,0.08696516277886393
-0.5050505050505051,0.07247013114532974
-0.4696969696969697,0.06040124033848887
-0.43434343434343436,0.050361549430579286
-0.398989898989899,0.04200549917908446
-0.36363636363636365,0.03503429557715765
-0.3282828282828283,0.029191396558529863
-0.29292929292929293,0.024258114266860753
-0.25757575757575757,0.020049356222342423
-0.2222222222222222,0.016409544519004678
-0.18686868686868688,0.013208773186091895
-0.15151515151515152,0.010339289415685784
-0.11616161616161616,0.007712413569243464
-0.08080808080808081,0.005256048504133284
-0.045454545454545456,0.0029129926929082586
-0.010101010101010102,0.0006404854004752956
0.025252525252525252,-0.0015877140719625976
0.06060606060606061,-0.0037895106051222707
0.09595959595959595,-0.005995141812113522
0.13131313131313133,-0.008245273814343715
0.16666666666666666,-0.010588580930666162
0.20202020202020202,-0.013081176529104942
0.23737373737373738,-0.015786805784443587
0.2727272727272727,-0.018777403649830944
0.30808080808080807,-0.022133784660003417
0.3434343434343434,-0.025946308664192286
0.3787878787878788,-0.030315419144270956
0.41414141414141414,-0.035351990516216805
0.4494949494949495,-0.04117745017223688
0.48484848484848486,-0.04792366121049925
0.5202020202020202,-0.055732564500783476
0.5555555555555556,-0.0647555858693507
0.5909090909090909,-0.07515281762640863
0.6262626262626263,-0.08709198479542916
0.6616161616161617,-0.10074720627721978
0.696969696969697,-0.11629756042746779
0.7323232323232324,-0.13392546353060736
0.7676767676767676,-0.15381486862372043
0.803030303030303,-0.17614929116413702
0.8383838383838383,-0.20110966718499668
0.8737373737373737,-0.22887204885337895
0.9090909090909091,-0.25960514172904664
0.9444444444444444,-0.29346768750518804
0.9797979797979798,-0.33060569558096065
1.0151515151515151,-0.3711495264549558
1.0505050505050506,-0.4152108296264073
1.0858585858585859,-0.4628793384364356
1.121212121212121,-0.5142195240660965
1.1565656565656566,-0.5692671107243171
1.1919191919191918,-0.6280254539011799
1.2272727272727273,-0.690461783425833
1.2626262626262625,-0.7565033129497534
1.297979797979798,-0.8260332173722569
1.3333333333333333,-0.8988864796335146
1.3686868686868687,-0.9748456082190149
1.404040404040404,-1.0536362266467527
1.4393939393939394,-1.1349225361431847
1.4747474747474747,-1.2183026526550376
1.5101010101010102,-1.303303819290596
1.5454545454545454,-1.3893774952352844
1.5808080808080809,-1.4758943221417533
1.6161616161616161,-1.562138968953551
1.6515151515151516,-1.6473048560836483
1.6868686868686869,-1.730488759833941
1.7222222222222223,-1.8106852979093258
1.7575757575757576,-1.8867812968495667
1.792929292929293,-1.9575500421738554
1.8282828282828283,-2.021645412006412
1.8636363636363635,-2.077595894926602
1.898989898989899,-2.12379849276361
1.9343434343434343,-2.1585125090336708
1.9696969696969697,-2.179853223697013
2.005050505050505,-2.1857854548920077
2.04040404040404,-2.1741170082853456
2.0757575757575757,-2.1424920146593736
2.111111111111111,-2.088384156340954
2.1464646464646466,-2.009089783060178
2.1818181818181817,-1.9017209178120988
2.217171717171717,-1.7631981532800827
2.2525252525252526,-1.5902434393656026
2.287878787878788,-1.379372762355977
2.323232323232323,-1.1268887162617074
2.3585858585858586,-0.82887296675442
2.393939393939394,-0.48117860838825866
2.4292929292929295,-0.07942241534204741
2.4646464646464645,0.3810230136692382
2.5,0.9050372158963423
