x,y
-4.0,-36.70785596719675
-3.8585858585858586,-36.22235117447924
-3.717171717171717,-35.69838083916019
-3.5757575757575757,-35.13153785127106
-3.4343434343434343,-34.51677071231681
-3.292929292929293,-33.84827356067254
-3.1515151515151514,-33.11935655299782
-3.01010101010101,-32.32229387355385
-2.8686868686868685,-31.448147060972786
-2.727272727272727,-30.48656257782755
-2.585858585858586,-29.425545303972182
-2.4444444444444446,-28.25121514142717
-2.303030303030303,-26.947564319557944
-2.1616161616161618,-25.49625198456753
-2.0202020202020203,-23.8765065651294
-1.878787878787879,-22.06526583048211
-1.7373737373737375,-20.03778678338745
-1.595959595959596,-17.76912928558641
-1.4545454545454546,-15.237195812457447
-1.3131313131313131,-12.428434860061106
-1.1717171717171717,-9.347893177704654
-1.0303030303030303,-6.035891404660113
-0.8888888888888888,-2.593635895715824
-0.7474747474747475,0.7819323485365858
-0.6060606060606061,3.760732856176781
-0.46464646464646464,5.86142986999754
-0.32323232323232326,6.494671293672087
-0.18181818181818182,5.112103899787065
-0.04040404040404041,1.4481374610157633
0.10101010101010101,-4.274946251657055
0.24242424242424243,-11.35855959256054
0.3838383838383838,-18.88912625240025
0.5252525252525253,-26.06538171022608
0.6666666666666666,-32.38580869014685
0.8080808080808081,-37.65342329043501
0.9494949494949495,-41.88223692612336
1.0909090909090908,-45.194237606237216
1.2323232323232323,-47.746740636236545
1.3737373737373737,-49.692942600099286
1.5151515151515151,-51.16538257844701
1.6565656565656566,-52.2719505774238
1.797979797979798,-53.097588038445735
1.9393939393939394,-53.707961662316876
2.080808080808081,-54.153369143155444
2.2222222222222223,-54.472190832664324
2.3636363636363638,-54.69370223422217
2.505050505050505,-54.840272258317945
2.6464646464646466,-54.92904344937134
2.787878787878788,-54.973201381234716
2.9292929292929295,-54.982928602302515
3.0707070707070705,-54.96612054723814
3.212121212121212,-54.928923426019374
3.3535353535353534,-54.87613946967116
3.494949494949495,-54.811533392723206
3.6363636363636362,-54.7380651700135
3.7777777777777777,-54.658067684860036
3.919191919191919,-54.573382972530496
4.0606060606060606,-54.485467228820454
4.202020202020202,-54.39547214349683
4.343434343434343,-54.30430820022872
4.484848484848484,-54.21269417167522
4.626262626262626,-54.12119599424804
4.767676767676767,-54.03025743238853
4.909090909090909,-53.940224364967925
5.05050505050505,-53.8513640943176
5.191919191919192,-53.763880753397025
5.333333333333333,-53.677927640976165
5.474747474747475,-53.59361712817892
5.616161616161616,-53.511028637386374
5.757575757575758,-53.430215085375565
5.898989898989899,-53.35120809851443
6.040404040404041,-53.274022242790885
6.181818181818182,-53.198658460930986
6.3232323232323235,-53.12510686940599
6.4646464646464645,-53.05334903722312
6.606060606060606,-52.98335984407421
6.747474747474747,-52.91510899621885
6.888888888888889,-52.84856226323068
7.03030303030303,-52.78368248662062
7.171717171717172,-52.72043040172609
7.313131313131313,-52.65876530642064
7.454545454545454,-52.598645604050176
7.595959595959596,-52.54002924294166
7.737373737373737,-52.482874070785144
7.878787878787879,-52.42713811889999
8.02020202020202,-52.372779828720546
8.16161616161616,-52.31975823066141
8.303030303030303,-52.268033083734366
8.444444444444445,-52.21756498284595
8.585858585858587,-52.168315439490286
8.727272727272727,-52.12024694058322
8.868686868686869,-52.07332298936483
9.01010101010101,-52.02750813163103
9.151515151515152,-51.98276797000128
9.292929292929292,-51.93906916847054
9.434343434343434,-51.896379449113056
9.575757575757576,-51.8546675824907
9.717171717171718,-51.81390337305422
9.858585858585858,-51.77405764060796
10.0,-51.735102198725464
